#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
MMU-9033241	Peroxisomal protein import	15	61	2.37	6.24e-31	10090.ENSMUSP00000003720,10090.ENSMUSP00000010795,10090.ENSMUSP00000022437,10090.ENSMUSP00000022821,10090.ENSMUSP00000023559,10090.ENSMUSP00000025385,10090.ENSMUSP00000028207,10090.ENSMUSP00000034466,10090.ENSMUSP00000045621,10090.ENSMUSP00000063325,10090.ENSMUSP00000063412,10090.ENSMUSP00000069209,10090.ENSMUSP00000095970,10090.ENSMUSP00000115292,10090.ENSMUSP00000126464	Crot,Acaa1b,Hacl1,Dhrs4,Ehhadh,Hsd17b4,Crat,Gnpat,Decr2,Acox1,Acox3,Ephx2,Mlycd,Mpv17,Acox2
MMU-8978868	Fatty acid metabolism	15	196	1.87	2.35e-24	10090.ENSMUSP00000003720,10090.ENSMUSP00000010795,10090.ENSMUSP00000022437,10090.ENSMUSP00000023559,10090.ENSMUSP00000025385,10090.ENSMUSP00000028207,10090.ENSMUSP00000035116,10090.ENSMUSP00000035222,10090.ENSMUSP00000045621,10090.ENSMUSP00000063325,10090.ENSMUSP00000063412,10090.ENSMUSP00000069209,10090.ENSMUSP00000095970,10090.ENSMUSP00000120976,10090.ENSMUSP00000126464	Crot,Acaa1b,Hacl1,Ehhadh,Hsd17b4,Crat,Pccb,Slc25a20,Decr2,Acox1,Acox3,Ephx2,Mlycd,Hadha,Acox2
MMU-390918	Peroxisomal lipid metabolism	11	31	2.53	4.71e-24	10090.ENSMUSP00000003720,10090.ENSMUSP00000010795,10090.ENSMUSP00000022437,10090.ENSMUSP00000023559,10090.ENSMUSP00000025385,10090.ENSMUSP00000028207,10090.ENSMUSP00000045621,10090.ENSMUSP00000063325,10090.ENSMUSP00000063412,10090.ENSMUSP00000095970,10090.ENSMUSP00000126464	Crot,Acaa1b,Hacl1,Ehhadh,Hsd17b4,Crat,Decr2,Acox1,Acox3,Mlycd,Acox2
MMU-556833	Metabolism of lipids	17	615	1.42	4.08e-21	10090.ENSMUSP00000003720,10090.ENSMUSP00000010795,10090.ENSMUSP00000022437,10090.ENSMUSP00000023559,10090.ENSMUSP00000025385,10090.ENSMUSP00000028207,10090.ENSMUSP00000031445,10090.ENSMUSP00000034466,10090.ENSMUSP00000035116,10090.ENSMUSP00000035222,10090.ENSMUSP00000045621,10090.ENSMUSP00000063325,10090.ENSMUSP00000063412,10090.ENSMUSP00000069209,10090.ENSMUSP00000095970,10090.ENSMUSP00000120976,10090.ENSMUSP00000126464	Crot,Acaa1b,Hacl1,Ehhadh,Hsd17b4,Crat,Aacs,Gnpat,Pccb,Slc25a20,Decr2,Acox1,Acox3,Ephx2,Mlycd,Hadha,Acox2
MMU-1430728	Metabolism	20	1685	1.06	6.08e-19	10090.ENSMUSP00000003720,10090.ENSMUSP00000003907,10090.ENSMUSP00000010795,10090.ENSMUSP00000015829,10090.ENSMUSP00000022437,10090.ENSMUSP00000023559,10090.ENSMUSP00000025385,10090.ENSMUSP00000028207,10090.ENSMUSP00000029259,10090.ENSMUSP00000031445,10090.ENSMUSP00000034466,10090.ENSMUSP00000035116,10090.ENSMUSP00000035222,10090.ENSMUSP00000045621,10090.ENSMUSP00000063325,10090.ENSMUSP00000063412,10090.ENSMUSP00000069209,10090.ENSMUSP00000095970,10090.ENSMUSP00000120976,10090.ENSMUSP00000126464	Crot,Gcdh,Acaa1b,Acadsb,Hacl1,Ehhadh,Hsd17b4,Crat,Mccc1,Aacs,Gnpat,Pccb,Slc25a20,Decr2,Acox1,Acox3,Ephx2,Mlycd,Hadha,Acox2
MMU-390247	Beta-oxidation of very long chain fatty acids	6	13	2.65	1.21e-13	10090.ENSMUSP00000010795,10090.ENSMUSP00000023559,10090.ENSMUSP00000025385,10090.ENSMUSP00000045621,10090.ENSMUSP00000063325,10090.ENSMUSP00000095970	Acaa1b,Ehhadh,Hsd17b4,Decr2,Acox1,Mlycd
MMU-389887	Beta-oxidation of pristanoyl-CoA	5	9	2.73	9.59e-12	10090.ENSMUSP00000003720,10090.ENSMUSP00000025385,10090.ENSMUSP00000028207,10090.ENSMUSP00000063412,10090.ENSMUSP00000126464	Crot,Hsd17b4,Crat,Acox3,Acox2
MMU-2046106	alpha-linolenic acid (ALA) metabolism	3	14	2.31	3.70e-06	10090.ENSMUSP00000010795,10090.ENSMUSP00000025385,10090.ENSMUSP00000063325	Acaa1b,Hsd17b4,Acox1
MMU-196780	Biotin transport and metabolism	2	9	2.33	0.00026	10090.ENSMUSP00000029259,10090.ENSMUSP00000035116	Mccc1,Pccb
MMU-70895	Branched-chain amino acid catabolism	2	18	2.03	0.00081	10090.ENSMUSP00000015829,10090.ENSMUSP00000029259	Acadsb,Mccc1
MMU-193368	Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol	2	28	1.84	0.0017	10090.ENSMUSP00000025385,10090.ENSMUSP00000126464	Hsd17b4,Acox2
MMU-77289	Mitochondrial Fatty Acid Beta-Oxidation	2	36	1.73	0.0025	10090.ENSMUSP00000035116,10090.ENSMUSP00000120976	Pccb,Hadha
MMU-71291	Metabolism of amino acids and derivatives	3	228	1.1	0.0050	10090.ENSMUSP00000003907,10090.ENSMUSP00000015829,10090.ENSMUSP00000029259	Gcdh,Acadsb,Mccc1
MMU-1483206	Glycerophospholipid biosynthesis	2	108	1.25	0.0162	10090.ENSMUSP00000034466,10090.ENSMUSP00000120976	Gnpat,Hadha
