#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
MMU-983168	Antigen processing: Ubiquitination & Proteasome degradation	16	295	1.8	2.15e-25	10090.ENSMUSP00000014499,10090.ENSMUSP00000017365,10090.ENSMUSP00000020258,10090.ENSMUSP00000022256,10090.ENSMUSP00000022803,10090.ENSMUSP00000027421,10090.ENSMUSP00000031072,10090.ENSMUSP00000034740,10090.ENSMUSP00000034859,10090.ENSMUSP00000045998,10090.ENSMUSP00000047950,10090.ENSMUSP00000049128,10090.ENSMUSP00000077168,10090.ENSMUSP00000083393,10090.ENSMUSP00000126205,10090.ENSMUSP00000136449	Anapc1,Psmd3,Herc4,Psmd6,Psmb5,Trip12,Anapc4,Nedd4,Fbxo22,Ube3c,Cdc16,Cul7,Glmn,Anapc5,Rnf14,Hectd1
MMU-174084	Autodegradation of Cdh1 by Cdh1:APC/C	7	57	2.15	1.69e-12	10090.ENSMUSP00000014499,10090.ENSMUSP00000017365,10090.ENSMUSP00000022256,10090.ENSMUSP00000022803,10090.ENSMUSP00000031072,10090.ENSMUSP00000047950,10090.ENSMUSP00000083393	Anapc1,Psmd3,Psmd6,Psmb5,Anapc4,Cdc16,Anapc5
MMU-174154	APC/C:Cdc20 mediated degradation of Securin	7	61	2.12	2.19e-12	10090.ENSMUSP00000014499,10090.ENSMUSP00000017365,10090.ENSMUSP00000022256,10090.ENSMUSP00000022803,10090.ENSMUSP00000031072,10090.ENSMUSP00000047950,10090.ENSMUSP00000083393	Anapc1,Psmd3,Psmd6,Psmb5,Anapc4,Cdc16,Anapc5
MMU-174178	APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1	7	66	2.09	3.15e-12	10090.ENSMUSP00000014499,10090.ENSMUSP00000017365,10090.ENSMUSP00000022256,10090.ENSMUSP00000022803,10090.ENSMUSP00000031072,10090.ENSMUSP00000047950,10090.ENSMUSP00000083393	Anapc1,Psmd3,Psmd6,Psmb5,Anapc4,Cdc16,Anapc5
MMU-174184	Cdc20:Phospho-APC/C mediated degradation of Cyclin A	7	66	2.09	3.15e-12	10090.ENSMUSP00000014499,10090.ENSMUSP00000017365,10090.ENSMUSP00000022256,10090.ENSMUSP00000022803,10090.ENSMUSP00000031072,10090.ENSMUSP00000047950,10090.ENSMUSP00000083393	Anapc1,Psmd3,Psmd6,Psmb5,Anapc4,Cdc16,Anapc5
MMU-69017	CDK-mediated phosphorylation and removal of Cdc6	7	66	2.09	3.15e-12	10090.ENSMUSP00000014499,10090.ENSMUSP00000017365,10090.ENSMUSP00000022256,10090.ENSMUSP00000022803,10090.ENSMUSP00000031072,10090.ENSMUSP00000047950,10090.ENSMUSP00000083393	Anapc1,Psmd3,Psmd6,Psmb5,Anapc4,Cdc16,Anapc5
MMU-176408	Regulation of APC/C activators between G1/S and early anaphase	7	76	2.03	4.30e-12	10090.ENSMUSP00000014499,10090.ENSMUSP00000017365,10090.ENSMUSP00000022256,10090.ENSMUSP00000022803,10090.ENSMUSP00000031072,10090.ENSMUSP00000047950,10090.ENSMUSP00000083393	Anapc1,Psmd3,Psmd6,Psmb5,Anapc4,Cdc16,Anapc5
MMU-2467813	Separation of Sister Chromatids	7	169	1.68	5.93e-10	10090.ENSMUSP00000014499,10090.ENSMUSP00000017365,10090.ENSMUSP00000022256,10090.ENSMUSP00000022803,10090.ENSMUSP00000031072,10090.ENSMUSP00000047950,10090.ENSMUSP00000083393	Anapc1,Psmd3,Psmd6,Psmb5,Anapc4,Cdc16,Anapc5
MMU-69620	Cell Cycle Checkpoints	7	240	1.53	5.53e-09	10090.ENSMUSP00000014499,10090.ENSMUSP00000017365,10090.ENSMUSP00000022256,10090.ENSMUSP00000022803,10090.ENSMUSP00000031072,10090.ENSMUSP00000047950,10090.ENSMUSP00000083393	Anapc1,Psmd3,Psmd6,Psmb5,Anapc4,Cdc16,Anapc5
MMU-176407	Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase	4	18	2.41	1.66e-08	10090.ENSMUSP00000014499,10090.ENSMUSP00000031072,10090.ENSMUSP00000047950,10090.ENSMUSP00000083393	Anapc1,Anapc4,Cdc16,Anapc5
MMU-176412	Phosphorylation of the APC/C	4	18	2.41	1.66e-08	10090.ENSMUSP00000014499,10090.ENSMUSP00000031072,10090.ENSMUSP00000047950,10090.ENSMUSP00000083393	Anapc1,Anapc4,Cdc16,Anapc5
