#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
MMU-73857	RNA Polymerase II Transcription	12	759	1.2	6.55e-11	10090.ENSMUSP00000008445,10090.ENSMUSP00000020681,10090.ENSMUSP00000021345,10090.ENSMUSP00000028767,10090.ENSMUSP00000029180,10090.ENSMUSP00000030993,10090.ENSMUSP00000046905,10090.ENSMUSP00000069243,10090.ENSMUSP00000088297,10090.ENSMUSP00000091487,10090.ENSMUSP00000105985,10090.ENSMUSP00000109123	Phax,Slu7,Gtf2a1,Rtf1,Rprd1b,Nelfa,Leo1,Cpsf4,Rprd2,Supt4a,Srsf5,Taf9b
MMU-72203	Processing of Capped Intron-Containing Pre-mRNA	8	212	1.58	3.73e-10	10090.ENSMUSP00000011450,10090.ENSMUSP00000020681,10090.ENSMUSP00000022228,10090.ENSMUSP00000025997,10090.ENSMUSP00000030622,10090.ENSMUSP00000069243,10090.ENSMUSP00000105985,10090.ENSMUSP00000138379	Sugp1,Slu7,Cwc27,Smndc1,Syf2,Cpsf4,Srsf5,Rbm5
MMU-674695	RNA Polymerase II Pre-transcription Events	6	72	1.92	1.31e-09	10090.ENSMUSP00000021345,10090.ENSMUSP00000028767,10090.ENSMUSP00000030993,10090.ENSMUSP00000046905,10090.ENSMUSP00000091487,10090.ENSMUSP00000109123	Gtf2a1,Rtf1,Nelfa,Leo1,Supt4a,Taf9b
MMU-72163	mRNA Splicing - Major Pathway	7	156	1.65	1.51e-09	10090.ENSMUSP00000011450,10090.ENSMUSP00000022228,10090.ENSMUSP00000025997,10090.ENSMUSP00000030622,10090.ENSMUSP00000069243,10090.ENSMUSP00000105985,10090.ENSMUSP00000138379	Sugp1,Cwc27,Smndc1,Syf2,Cpsf4,Srsf5,Rbm5
MMU-8953854	Metabolism of RNA	9	448	1.3	1.69e-09	10090.ENSMUSP00000008445,10090.ENSMUSP00000011450,10090.ENSMUSP00000020681,10090.ENSMUSP00000022228,10090.ENSMUSP00000025997,10090.ENSMUSP00000030622,10090.ENSMUSP00000069243,10090.ENSMUSP00000105985,10090.ENSMUSP00000138379	Phax,Sugp1,Slu7,Cwc27,Smndc1,Syf2,Cpsf4,Srsf5,Rbm5
MMU-6807505	RNA polymerase II transcribes snRNA genes	5	67	1.87	4.65e-08	10090.ENSMUSP00000008445,10090.ENSMUSP00000021345,10090.ENSMUSP00000029180,10090.ENSMUSP00000088297,10090.ENSMUSP00000091487	Phax,Gtf2a1,Rprd1b,Rprd2,Supt4a
MMU-112382	Formation of RNA Pol II elongation complex	4	51	1.9	1.25e-06	10090.ENSMUSP00000028767,10090.ENSMUSP00000030993,10090.ENSMUSP00000046905,10090.ENSMUSP00000091487	Rtf1,Nelfa,Leo1,Supt4a
MMU-72187	mRNA 3'-end processing	3	50	1.78	8.15e-05	10090.ENSMUSP00000020681,10090.ENSMUSP00000069243,10090.ENSMUSP00000105985	Slu7,Cpsf4,Srsf5
MMU-109688	Cleavage of Growing Transcript in the Termination Region	3	57	1.72	0.00011	10090.ENSMUSP00000020681,10090.ENSMUSP00000069243,10090.ENSMUSP00000105985	Slu7,Cpsf4,Srsf5
MMU-73856	RNA Polymerase II Transcription Termination	3	57	1.72	0.00011	10090.ENSMUSP00000020681,10090.ENSMUSP00000069243,10090.ENSMUSP00000105985	Slu7,Cpsf4,Srsf5
MMU-113418	Formation of the Early Elongation Complex	2	29	1.84	0.0014	10090.ENSMUSP00000030993,10090.ENSMUSP00000091487	Nelfa,Supt4a
MMU-6796648	TP53 Regulates Transcription of DNA Repair Genes	2	38	1.72	0.0022	10090.ENSMUSP00000030993,10090.ENSMUSP00000091487	Nelfa,Supt4a
MMU-8866654	E3 ubiquitin ligases ubiquitinate target proteins	2	39	1.71	0.0022	10090.ENSMUSP00000028767,10090.ENSMUSP00000046905	Rtf1,Leo1
MMU-73776	RNA Polymerase II Promoter Escape	2	43	1.67	0.0025	10090.ENSMUSP00000021345,10090.ENSMUSP00000109123	Gtf2a1,Taf9b
MMU-73779	RNA Polymerase II Transcription Pre-Initiation And Promoter Opening	2	43	1.67	0.0025	10090.ENSMUSP00000021345,10090.ENSMUSP00000109123	Gtf2a1,Taf9b
MMU-75953	RNA Polymerase II Transcription Initiation	2	43	1.67	0.0025	10090.ENSMUSP00000021345,10090.ENSMUSP00000109123	Gtf2a1,Taf9b
MMU-3700989	Transcriptional Regulation by TP53	3	250	1.08	0.0041	10090.ENSMUSP00000030993,10090.ENSMUSP00000091487,10090.ENSMUSP00000109123	Nelfa,Supt4a,Taf9b
MMU-159236	Transport of Mature mRNA derived from an Intron-Containing Transcript	2	68	1.47	0.0044	10090.ENSMUSP00000020681,10090.ENSMUSP00000105985	Slu7,Srsf5
