"","cluster","cluster_size","genes","KEGG_term_ID","KEGG_term_description","KEGG_observed_gene_count","KEGG_background_gene_count","KEGG_strength","KEGG_FDR","RCTM_term_ID","RCTM_term_description","RCTM_observed_gene_count","RCTM_background_gene_count","RCTM_strength","RCTM_FDR"
"Red","Red",27,"Cpsf4;Cwc27;Gtf2a1;Hmgn1;Hnrnpa1;Leo1;Ncoa6;Nelfa;Phax;Polr2j;Pqbp1;Rbfox2;Rbm5;Rprd1b;Rprd2;Rtf1;Slu7;Smndc1;Srsf5;Sugp1;Supt4a;Syf2;Taf9b;Ubl4;Uri1;Wtap;Zc3h18","mmu03040;mmu03022;mmu05168","Spliceosome;Basal transcription factors;Herpes simplex infection","6;2;3","130; 43;202","1.58;1.58;1.08","1.69e-07;9.00e-03;9.00e-03","MMU-72163;MMU-112382;MMU-109688;MMU-6807505","mRNA Splicing - Major Pathway;Formation of RNA Pol II elongation complex;Cleavage of Growing Transcript in the Termination Region;RNA polymerase II transcribes snRNA genes","6;4;3;2","82;49;57;31","1.78;1.82;1.63;1.72","8.41e-09;2.24e-06;1.60e-04;1.70e-03"
"Salmon","Salmon",16,"Aatf;Dnttip2;Esf1;Exosc3;Exosc4;Exosc8;Ftsj3;Grwd1;Kri1;Ltv1;Mphosph10;Nol8;Nolc1;Rrp7a;Utp14a;Zcchc8","mmu03008;mmu03018","Ribosome biogenesis in eukaryotes;RNA degradation","3;3","76;80","1.74;1.71","4.78e-05;4.78e-05","MMU-6791226;MMU-429914","Major pathway of rRNA processing in the nucleolus and cytosol;Deadenylation-dependent mRNA decay","4;3","67;30","1.92;2.14","3.48e-07;1.68e-06"
"Fire Brick","Fire Brick",10,"Aftph;Bin1;Bloc1s1;Cttn;Dab2;Fnbp1l;Ldlr;Trip10;Ubqln2;Vamp2","mmu04144","Endocytosis","3","258","1.41","0.0035","MMU-199991","Membrane Trafficking","4","187","1.67","3.3e-06"
"Sandy Brown 2","Sandy Brown 2",7,"Bgn;Dcn;Gpc1;Mmp14;Sdc1;Sdc4;Vcan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saddle Brown","Saddle Brown",7,"Cks1brt;Gli3;Limd1;Psmd10;Rnf146;Sufu;Tnfrsf12a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sandy Brown","Sandy Brown",5,"Myl1;Tmod3;Tpm1;Tpm2;Tpm4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dark Golden Rod","Dark Golden Rod",5,"App;Cdh2;Gng12;Psap;Vegfa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sandy Brown 3","Sandy Brown 3",5,"Bud13;Lsm7;Mfap1a;Nhp2l1;Nop16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brown","Brown",4,"Banf1;Emd;Lemd3;Tmpo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yellow","Yellow",4,"Dbnl;Dlgap4;Lrg1;Tpm3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
