"","CHOW_BAS_1","CHOW_BAS_2","CHOW_BAS_3","CHOW_BAS_4","CHOW_BAS_5","CHOW_BAS_6","CHOW_BAS_7","CHOW_BAS_8","CHOW_BAS_9","CHOW_BAS_10","CHOW_BAS_11","CHOW_BAS_12","CHOW_INS_1","CHOW_INS_2","CHOW_INS_3","CHOW_INS_4","CHOW_INS_5","CHOW_INS_6","CHOW_INS_7","CHOW_INS_8","CHOW_INS_9","CHOW_INS_10","CHOW_INS_11","CHOW_INS_12","HFD_BAS_1","HFD_BAS_2","HFD_BAS_3","HFD_BAS_4","HFD_BAS_5","HFD_BAS_6","HFD_BAS_7","HFD_BAS_8","HFD_BAS_9","HFD_BAS_10","HFD_BAS_11","HFD_BAS_12","HFD_INS_1","HFD_INS_2","HFD_INS_3","HFD_INS_4","HFD_INS_5","HFD_INS_6","HFD_INS_7","HFD_INS_8","HFD_INS_9","HFD_INS_10","HFD_INS_11","HFD_INS_12","REV_BAS_1","REV_BAS_2","REV_BAS_3","REV_BAS_4","REV_BAS_5","REV_BAS_6","REV_BAS_7","REV_BAS_8","REV_BAS_9","REV_BAS_10","REV_BAS_11","REV_BAS_12","REV_INS_1","REV_INS_2","REV_INS_3","REV_INS_4","REV_INS_5","REV_INS_6","REV_INS_7","REV_INS_8","REV_INS_9","REV_INS_10","REV_INS_11","REV_INS_12"
"CHOW_BAS_1",1,0.879044513771864,0.845991677010124,0.841659255415159,0.862111028587405,0.829424285129277,0.838331068538093,0.845530455957227,0.847819979012536,0.835553040796893,0.870994182382901,0.819460667311881,0.89747595828433,0.864879233135746,0.841380109254315,0.838883883078775,0.821614085787036,0.841082851725684,0.836942252835848,0.842563529296189,0.840059202120503,0.840695892731047,0.831383372466675,0.818499427412866,0.858059907210153,0.871956059913881,0.844492848144645,0.840230722582506,0.864590138021461,0.839130014900485,0.826332833851441,0.804287979185023,0.805975746079619,0.849400880376363,0.851919440034971,0.820371862583328,0.865542474201736,0.848312108154219,0.833631579077177,0.827131104854122,0.829053764865301,0.830460784423849,0.782754932883295,0.800709675378604,0.805370406052855,0.816610547046334,0.820737395137753,0.812822681912625,0.885306154419487,0.882524760118728,0.845820010872685,0.845685749769729,0.839364740383163,0.826069400497965,0.806207765867928,0.809855819116703,0.842504373904677,0.82545679130965,0.832998208981046,0.806669250307372,0.872128744885643,0.862971911823879,0.812851880196246,0.806251640410667,0.81324474564842,0.84479943574099,0.825301154726691,0.789100594571651,0.846552950408462,0.813484029270059,0.829562193904624,0.827428874457064
"CHOW_BAS_2",0.879044513771864,1,0.901007169296719,0.880943060243705,0.875287115597304,0.85802856742387,0.894222738746872,0.849185380333055,0.877628856919502,0.872241757740953,0.877835282583046,0.867724364679084,0.868373829740358,0.924706075145796,0.902418599223651,0.881912870871396,0.827875042442838,0.882215172782577,0.879445308419518,0.844758144774049,0.874990359970114,0.887440908264889,0.856311080692433,0.859902855575267,0.820280886007647,0.907694962412846,0.897850024428671,0.880748210066699,0.871635035262211,0.879251555471217,0.88549899233421,0.829195710274782,0.841179039610758,0.900544088062404,0.861136911362447,0.860625330641393,0.868222999316635,0.878682628191358,0.879136100314681,0.879499740518477,0.859431379752044,0.881110708037265,0.826283443150883,0.806353922275926,0.837846414417304,0.864903335464345,0.809849267817069,0.853372283139831,0.90008322940626,0.891107649571648,0.907531615215909,0.898031644295795,0.848704219529237,0.862839875836708,0.845880932496476,0.826764123113254,0.863188227114015,0.875013519884174,0.849721167489881,0.850918241274147,0.873652512502835,0.906050491172032,0.862430224705007,0.853371886164415,0.846487704862794,0.827538706956586,0.872022777669977,0.801741564870266,0.879497072647029,0.875454532182539,0.860861811764414,0.867465821883964
"CHOW_BAS_3",0.845991677010124,0.901007169296719,1,0.923230573372851,0.886107931333237,0.889140678523827,0.908328648015817,0.872550048097446,0.882877633484466,0.894800853971229,0.880664976897564,0.89102319173172,0.829830690754972,0.904365869831993,0.898206421632426,0.900718719050841,0.847998337063062,0.873223703643594,0.918916113650254,0.868731820947801,0.881667987478411,0.906408671459229,0.874940354355974,0.881192358999755,0.812326026064412,0.882864259193014,0.908240988613093,0.923739366578844,0.872745813535272,0.884070478684748,0.896688669056675,0.835778708882885,0.845564608096203,0.888225578256322,0.866147650393029,0.870447152627979,0.844713977156993,0.846052260681338,0.908891442076422,0.904197918507494,0.850209700935929,0.891231534809402,0.8320484360579,0.808319239162298,0.850327067545611,0.858207113704695,0.808294647973223,0.871843647978749,0.868567202584929,0.871256255907943,0.901378190897997,0.90454715174421,0.843414380477921,0.874440876898098,0.859356555503059,0.821435950546662,0.856366680462596,0.880412533981314,0.850770028690444,0.857107203016078,0.855018173758407,0.885891924513413,0.90476998576419,0.891453887300304,0.85784344648974,0.830721245192236,0.86997988369248,0.794749322283484,0.886502417596917,0.88444229206839,0.881394075003444,0.884397241010348
"CHOW_BAS_4",0.841659255415159,0.880943060243705,0.923230573372851,1,0.877680759052234,0.886405764896348,0.916122151386518,0.863388420676123,0.882473413022472,0.88619863812302,0.874935401115785,0.893503585278921,0.828649402185985,0.890796148407411,0.902921661247864,0.920487486035721,0.853703671031223,0.876226650454381,0.902872757780061,0.852036801436653,0.877389633333166,0.902635718371335,0.867886836960954,0.872759884868328,0.824694891026751,0.880544596182233,0.901807913843367,0.925277864518145,0.865241417296354,0.886287873592868,0.8937786519844,0.824147117731931,0.835992828579262,0.886582144843328,0.862998877595057,0.876404477913735,0.829177554871501,0.840086974868859,0.918960139632242,0.928826399464421,0.839964877930751,0.882276757879464,0.83381247037662,0.803556089475278,0.845526828144265,0.854568685408558,0.800962605156139,0.859947134651265,0.856484577988596,0.858521508490919,0.907923808519283,0.916334294583701,0.822757512011517,0.870197448088463,0.863814934322891,0.819402126774863,0.849850372116468,0.868024674633807,0.842518446569046,0.853587248841013,0.845293919912983,0.888797492203432,0.905769542958169,0.90608468408427,0.848932809340746,0.81568370721304,0.876677437546644,0.793448533568388,0.886511205448381,0.878766846852013,0.87167829749923,0.88293068401458
"CHOW_BAS_5",0.862111028587405,0.875287115597304,0.886107931333237,0.877680759052234,1,0.896879023155714,0.900313833999078,0.893172296013973,0.896391749957508,0.883563434140236,0.898034542890984,0.872171719908955,0.85241035492808,0.872050782858116,0.87561730276204,0.874318524467365,0.857815306153779,0.878100522183863,0.882127660238217,0.887819298732149,0.875447114952053,0.893293289589357,0.88195603133535,0.871073819084337,0.82398144008078,0.861984089246248,0.8797354511352,0.878447788223968,0.91219682358506,0.869316946703039,0.882337155514248,0.857093942141638,0.839961278537631,0.889782049146774,0.881999785105315,0.850111071884351,0.852133909800625,0.855174457630362,0.8676859976495,0.861018379290883,0.878285336081483,0.879020008765656,0.818507356807,0.82595284964808,0.857556544351579,0.848401153648917,0.837725652725898,0.869256249354584,0.880396595626992,0.884754832088113,0.884225943559036,0.87301479357403,0.872200501680877,0.886542037412157,0.844902009638457,0.847173115804066,0.877433322513706,0.862527992129614,0.868279559717093,0.858634246052712,0.8654802409472,0.889292826219055,0.874348012691997,0.861080187927522,0.854661933414607,0.863159189573914,0.867282135219305,0.832537152062461,0.884616341262138,0.881092977568856,0.868279707186071,0.861465623184276
"CHOW_BAS_6",0.829424285129277,0.85802856742387,0.889140678523827,0.886405764896348,0.896879023155714,1,0.899456113418086,0.884981826173986,0.896261318402911,0.877220074934258,0.886649541006944,0.875828806586157,0.832487480339852,0.877394320393785,0.880029910545833,0.88783051034566,0.87688367420249,0.892778324057209,0.878581982528888,0.874229210484021,0.890441634718883,0.887024398186056,0.880487214826835,0.890235377933915,0.807835774174456,0.861878180878967,0.88876987028009,0.883108648962787,0.883574791725933,0.87652299996741,0.890789415628554,0.855027265042926,0.854192894068308,0.88325016194342,0.875347491027732,0.872017432340642,0.835484365479579,0.846367675435225,0.88182617273158,0.871023350626645,0.860061249748755,0.89776186024935,0.840806377863249,0.820027897990865,0.867550137358433,0.847305276401237,0.832025744192909,0.881599650566393,0.856738151094766,0.867960466538567,0.889783051509269,0.886535291047634,0.858586465032636,0.905995775042201,0.865078852516223,0.848159152951569,0.878319477033987,0.862560014356878,0.867406544967389,0.875132714586589,0.857428015526329,0.883363466919375,0.895453496602073,0.873326423520253,0.883835150391377,0.852332746898749,0.881794145887203,0.835678793483395,0.885246674361773,0.890905107191904,0.88348897327628,0.885651018462125
"CHOW_BAS_7",0.838331068538093,0.894222738746872,0.908328648015817,0.916122151386518,0.900313833999078,0.899456113418086,1,0.888004622638508,0.89885225907304,0.916551328620763,0.891070305167816,0.905628929927044,0.826616231565565,0.890294183015326,0.918631965675763,0.920195564273485,0.856099589275227,0.877979927023107,0.899686443276636,0.877133808576139,0.897052109328725,0.928599571336553,0.886183850279298,0.89198642744765,0.806831929401608,0.865244996910473,0.908115136495123,0.912109066602074,0.878444113638283,0.901283664395399,0.922995797263128,0.86621679173631,0.877447109861539,0.913328966550997,0.877493512727811,0.899775646178381,0.83770030548879,0.849355229478482,0.915526698675413,0.903709216351393,0.873116304260481,0.911310808715895,0.866130714399412,0.837571902804573,0.879601066227757,0.882811217244566,0.833519758382577,0.888226924546029,0.866433214747746,0.863496242687375,0.921839822223115,0.916602091091453,0.858270411996984,0.893026645100433,0.902713902845417,0.851410031977059,0.887622286847555,0.894295260283232,0.865969335187293,0.889702280742485,0.85075837044424,0.882507793587294,0.907265341856601,0.902642865510599,0.880843770929215,0.847532746342988,0.907645238054416,0.818171296342514,0.905339098737202,0.914455739362002,0.895022939060275,0.891285741990406
"CHOW_BAS_8",0.845530455957227,0.849185380333055,0.872550048097446,0.863388420676123,0.893172296013973,0.884981826173986,0.888004622638508,1,0.895338673299235,0.899716965542711,0.889164379492761,0.871473920997379,0.821919745949038,0.85609693018067,0.851933622304264,0.859980983074772,0.865242603023467,0.848829895192204,0.855706719772799,0.900261430542316,0.891276776964295,0.880438139859008,0.881364183167638,0.868573090494499,0.81608140111023,0.843500279161215,0.85144606519993,0.854985588027053,0.888365801177233,0.848194312104616,0.873134138521915,0.862157741244454,0.862108108235229,0.876422411426722,0.888838732744763,0.856493434898124,0.830179648331665,0.830073815508337,0.859878657455226,0.842131737984052,0.840749049103427,0.86114433991601,0.844425252470255,0.858188250938724,0.860186486377437,0.845067364582345,0.833417386406664,0.865069833745372,0.846190440854181,0.842746718810875,0.856591126717994,0.86064858086273,0.85418279287941,0.878904443495982,0.869702576917448,0.86381908363829,0.885452063440511,0.885570251652514,0.854287615376752,0.85083009256487,0.837713760190381,0.859684643672802,0.862015732050024,0.847881522897264,0.855099220352717,0.863565125138395,0.860174434209266,0.8487693376377,0.888273295543069,0.887577543713333,0.867736281645308,0.87233913678787
"CHOW_BAS_9",0.847819979012536,0.877628856919502,0.882877633484466,0.882473413022472,0.896391749957508,0.896261318402911,0.89885225907304,0.895338673299235,1,0.892252381433695,0.878786256643648,0.88922286750397,0.81669256568191,0.877920680282485,0.882604025726235,0.879693527231328,0.857069407986444,0.872314615351717,0.873845906405139,0.89155270515547,0.917309893018338,0.900372349929363,0.872966791690883,0.876645045159136,0.806253247196605,0.854487672632751,0.874507459124276,0.869756018858909,0.882340612729625,0.881795141032247,0.895099145766405,0.860089372416686,0.864419057094675,0.905065529219365,0.885699993107546,0.866732132765428,0.845983234547448,0.84041041564593,0.87175805634188,0.86461280334368,0.856713221266452,0.889481868386603,0.848223801292348,0.844216757762544,0.885914686993502,0.878882131488386,0.83918362496687,0.871196004764568,0.860493814870632,0.859276334157162,0.882800023567954,0.887606498399868,0.853591581005589,0.900787076975636,0.875163678701834,0.852297667820294,0.883239935759268,0.892158947094661,0.868661384355082,0.863428528870031,0.846224030467886,0.879429159387727,0.873381834260744,0.86308034992654,0.863419397230658,0.837295231198042,0.867541523859962,0.821054106289436,0.896151949309755,0.884169869331267,0.881918105339767,0.870063031991588
"CHOW_BAS_10",0.835553040796893,0.872241757740953,0.894800853971229,0.88619863812302,0.883563434140236,0.877220074934258,0.916551328620763,0.899716965542711,0.892252381433695,1,0.873229925518314,0.889478861621851,0.813361903293339,0.877603116812317,0.88335543513667,0.882100647697338,0.84673061017341,0.852933718523832,0.855510722305852,0.873844901390749,0.890849413162768,0.914852623062194,0.866448798529026,0.861670860867996,0.803222549513067,0.851839159340492,0.87925816055858,0.881602549513374,0.87344851838962,0.870497177682295,0.899661306255232,0.853837713164544,0.863075512276555,0.89839706469571,0.869659213017022,0.878301651479448,0.82411742400076,0.831741272740829,0.886457333240967,0.864540745675315,0.830606789403865,0.877062293861253,0.868455294804353,0.843432237336135,0.866941648220685,0.882056059347706,0.822701990359361,0.861960794548609,0.848553977187619,0.841632151744054,0.889648563636287,0.88559101604616,0.835677934023923,0.888298638504079,0.899475549714747,0.847645917921114,0.867438529375873,0.918950586768941,0.844881933188129,0.874241565968074,0.831998599570658,0.868518833748329,0.883933903514894,0.87536819022695,0.857558878465059,0.833942275124516,0.880497875363692,0.812586634299303,0.895564382308916,0.903117937486733,0.87847921724347,0.881312278124539
