"","name","quant","model"
"CHOW_BAS_1","CHOW_BAS_1",11322,"CHOW"
"CHOW_BAS_2","CHOW_BAS_2",10938,"CHOW"
"CHOW_BAS_3","CHOW_BAS_3",10481,"CHOW"
"CHOW_BAS_4","CHOW_BAS_4",8977,"CHOW"
"CHOW_BAS_5","CHOW_BAS_5",11447,"CHOW"
"CHOW_BAS_6","CHOW_BAS_6",11052,"CHOW"
"CHOW_BAS_7","CHOW_BAS_7",10324,"CHOW"
"CHOW_BAS_8","CHOW_BAS_8",10169,"CHOW"
"CHOW_BAS_9","CHOW_BAS_9",10823,"CHOW"
"CHOW_BAS_10","CHOW_BAS_10",9612,"CHOW"
"CHOW_BAS_11","CHOW_BAS_11",10484,"CHOW"
"CHOW_BAS_12","CHOW_BAS_12",9477,"CHOW"
"CHOW_INS_1","CHOW_INS_1",11737,"CHOW"
"CHOW_INS_2","CHOW_INS_2",11133,"CHOW"
"CHOW_INS_3","CHOW_INS_3",10867,"CHOW"
"CHOW_INS_4","CHOW_INS_4",9768,"CHOW"
"CHOW_INS_5","CHOW_INS_5",10896,"CHOW"
"CHOW_INS_6","CHOW_INS_6",12017,"CHOW"
"CHOW_INS_7","CHOW_INS_7",10038,"CHOW"
"CHOW_INS_8","CHOW_INS_8",10897,"CHOW"
"CHOW_INS_9","CHOW_INS_9",10868,"CHOW"
"CHOW_INS_10","CHOW_INS_10",9953,"CHOW"
"CHOW_INS_11","CHOW_INS_11",9968,"CHOW"
"CHOW_INS_12","CHOW_INS_12",10151,"CHOW"
"HFD_BAS_1","HFD_BAS_1",10353,"HFD"
"HFD_BAS_2","HFD_BAS_2",10730,"HFD"
"HFD_BAS_3","HFD_BAS_3",10987,"HFD"
"HFD_BAS_4","HFD_BAS_4",9757,"HFD"
"HFD_BAS_5","HFD_BAS_5",11372,"HFD"
"HFD_BAS_6","HFD_BAS_6",11164,"HFD"
"HFD_BAS_7","HFD_BAS_7",10427,"HFD"
"HFD_BAS_8","HFD_BAS_8",11759,"HFD"
"HFD_BAS_9","HFD_BAS_9",11011,"HFD"
"HFD_BAS_10","HFD_BAS_10",10936,"HFD"
"HFD_BAS_11","HFD_BAS_11",10676,"HFD"
"HFD_BAS_12","HFD_BAS_12",9343,"HFD"
"HFD_INS_1","HFD_INS_1",12084,"HFD"
"HFD_INS_2","HFD_INS_2",11866,"HFD"
"HFD_INS_3","HFD_INS_3",9646,"HFD"
"HFD_INS_4","HFD_INS_4",9839,"HFD"
"HFD_INS_5","HFD_INS_5",12281,"HFD"
"HFD_INS_6","HFD_INS_6",11344,"HFD"
"HFD_INS_7","HFD_INS_7",9532,"HFD"
"HFD_INS_8","HFD_INS_8",10599,"HFD"
"HFD_INS_9","HFD_INS_9",11349,"HFD"
"HFD_INS_10","HFD_INS_10",10708,"HFD"
"HFD_INS_11","HFD_INS_11",10145,"HFD"
"HFD_INS_12","HFD_INS_12",9722,"HFD"
"REV_BAS_1","REV_BAS_1",11320,"REV"
"REV_BAS_2","REV_BAS_2",11764,"REV"
"REV_BAS_3","REV_BAS_3",11242,"REV"
"REV_BAS_4","REV_BAS_4",9905,"REV"
"REV_BAS_5","REV_BAS_5",11884,"REV"
"REV_BAS_6","REV_BAS_6",10775,"REV"
"REV_BAS_7","REV_BAS_7",8849,"REV"
"REV_BAS_8","REV_BAS_8",11793,"REV"
"REV_BAS_9","REV_BAS_9",11074,"REV"
"REV_BAS_10","REV_BAS_10",10047,"REV"
"REV_BAS_11","REV_BAS_11",10789,"REV"
"REV_BAS_12","REV_BAS_12",10209,"REV"
"REV_INS_1","REV_INS_1",11666,"REV"
"REV_INS_2","REV_INS_2",11107,"REV"
"REV_INS_3","REV_INS_3",9732,"REV"
"REV_INS_4","REV_INS_4",9422,"REV"
"REV_INS_5","REV_INS_5",10684,"REV"
"REV_INS_6","REV_INS_6",9956,"REV"
"REV_INS_7","REV_INS_7",9798,"REV"
"REV_INS_8","REV_INS_8",10952,"REV"
"REV_INS_9","REV_INS_9",9823,"REV"
"REV_INS_10","REV_INS_10",9875,"REV"
"REV_INS_11","REV_INS_11",9489,"REV"
"REV_INS_12","REV_INS_12",8292,"REV"
"73","Total_INS",22930,"Total"
