#clustering method	cluster number	cluster color	gene count	protein name	protein identifier	protein description
MCL	1	Red	24	Aacs	10090.ENSMUSP00000031445	Acetoacetyl-CoA synthetase; Activates acetoacetate to acetoacetyl-CoA. May be involved in utilizing ketone body for the fatty acid-synthesis during adipose tissue development (By similarity)
MCL	1	Red	24	Acaa1b	10090.ENSMUSP00000010795	3-ketoacyl-CoA thiolase B, peroxisomal; acetyl-Coenzyme A acyltransferase 1B
MCL	1	Red	24	Acad8	10090.ENSMUSP00000112908	Isobutyryl-CoA dehydrogenase, mitochondrial; Has very high activity toward isobutyryl-CoA. Is an isobutyryl-CoA dehydrogenase that functions in valine catabolism (By similarity); Belongs to the acyl-CoA dehydrogenase family
MCL	1	Red	24	Acadl	10090.ENSMUSP00000027153	Long-chain specific acyl-CoA dehydrogenase, mitochondrial; acyl-Coenzyme A dehydrogenase, long-chain
MCL	1	Red	24	Acadsb	10090.ENSMUSP00000015829	Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial; Has greatest activity toward short branched chain acyl- CoA derivative such as (s)-2-methylbutyryl-CoA, isobutyryl-CoA, and 2-methylhexanoyl-CoA as well as toward short straight chain acyl-CoAs such as butyryl-CoA and hexanoyl-CoA. Can use valproyl- CoA as substrate and may play a role in controlling the metabolic flux of valproic acid in the development of toxicity of this agent (By similarity)
MCL	1	Red	24	Acox1	10090.ENSMUSP00000063325	Peroxisomal acyl-coenzyme A oxidase 1; Catalyzes the desaturation of acyl-CoAs to 2-trans- enoyl-CoAs. Isoform 1 shows highest activity against medium-chain fatty acyl-CoAs and activity decreases with increasing chain length. Isoform 2 is active against a much broader range of substrates and shows activity towards very long-chain acyl-CoAs (By similarity)
MCL	1	Red	24	Acox2	10090.ENSMUSP00000126464	Peroxisomal acyl-coenzyme A oxidase 2; Oxidizes the CoA esters of the bile acid intermediates di- and tri-hydroxycoprostanic acids; Belongs to the acyl-CoA oxidase family
MCL	1	Red	24	Acox3	10090.ENSMUSP00000063412	Peroxisomal acyl-coenzyme A oxidase 3; Oxidizes the CoA-esters of 2-methyl-branched fatty acids
MCL	1	Red	24	Crat	10090.ENSMUSP00000028207	Carnitine O-acetyltransferase; Carnitine acetylase is specific for short chain fatty acids. Carnitine acetylase seems to affect the flux through the pyruvate dehydrogenase complex. It may be involved as well in the transport of acetyl-CoA into mitochondria; Belongs to the carnitine/choline acetyltransferase family
MCL	1	Red	24	Crot	10090.ENSMUSP00000003720	Peroxisomal carnitine O-octanoyltransferase; Beta-oxidation of fatty acids. The highest activity concerns the C6 to C10 chain length substrate; Belongs to the carnitine/choline acetyltransferase family
MCL	1	Red	24	Decr2	10090.ENSMUSP00000045621	Peroxisomal 2,4-dienoyl-CoA reductase; Auxiliary enzyme of beta-oxidation. Participates in the degradation of unsaturated fatty enoyl-CoA esters having double bonds in both even- and odd-numbered positions in peroxisome. Catalyzes the NADP-dependent reduction of 2,4-dienoyl-CoA to yield trans-3-enoyl-CoA. Has activity towards short and medium chain 2,4-dienoyl-CoAs, but also towards 2,4,7,10,13,16,19- docosaheptaenoyl-CoA, suggesting that it does not constitute a rate limiting step in the peroxisomal degradation of docosahexaenoic acid
MCL	1	Red	24	Dhrs4	10090.ENSMUSP00000022821	Dehydrogenase/reductase SDR family member 4; Reduces all-trans-retinal and 9-cis retinal. Can also catalyze the oxidation of all-trans-retinol with NADP as co- factor, but with much lower efficiency. Reduces alkyl phenyl ketones and alpha-dicarbonyl compounds with aromatic rings, such as pyrimidine-4-aldehyde, 3-benzoylpyridine, 4-benzoylpyridine, menadione and 4-hexanoylpyridine. Has no activity towards aliphatic aldehydes and ketones (By similarity)
MCL	1	Red	24	Ehhadh	10090.ENSMUSP00000023559	Peroxisomal bifunctional enzyme; enoyl-Coenzyme A, hydratase/3-hydroxyacyl Coenzyme A dehydrogenase; In the N-terminal section; belongs to the enoyl-CoA hydratase/isomerase family
MCL	1	Red	24	Ephx2	10090.ENSMUSP00000069209	Bifunctional epoxide hydrolase 2; Bifunctional enzyme. The C-terminal domain has epoxide hydrolase activity and acts on epoxides (alkene oxides, oxiranes) and arene oxides. Plays a role in xenobiotic metabolism by degrading potentially toxic epoxides. Also determines steady-state levels of physiological mediators. The N-terminal domain has lipid phosphatase activity, with the highest activity towards threo- 9,10-phosphonooxy-hydroxy-octadecanoic acid, followed by erythro- 9,10-phosphonooxy-hydroxy-octadecanoic acid, 12-phosphonooxy- octadec-9Z-enoic acid and 12-phosphonooxy-octadec-9E- [...] 
MCL	1	Red	24	Gcdh	10090.ENSMUSP00000003907	Glutaryl-CoA dehydrogenase, mitochondrial; Catalyzes the oxidative decarboxylation of glutaryl-CoA to crotonyl-CoA and CO(2) in the degradative pathway of L-lysine, L-hydroxylysine, and L-tryptophan metabolism. It uses electron transfer flavoprotein as its electron acceptor; Belongs to the acyl-CoA dehydrogenase family
MCL	1	Red	24	Gnpat	10090.ENSMUSP00000034466	Glyceronephosphate O-acyltransferase; Belongs to the GPAT/DAPAT family
MCL	1	Red	24	Hacl1	10090.ENSMUSP00000022437	2-hydroxyacyl-CoA lyase 1; Catalyzes a carbon-carbon cleavage reaction; cleaves a 2-hydroxy-3-methylacyl-CoA into formyl-CoA and a 2-methyl-branched fatty aldehyde
MCL	1	Red	24	Hadha	10090.ENSMUSP00000120976	Trifunctional enzyme subunit alpha, mitochondrial; Bifunctional subunit; In the central section; belongs to the 3-hydroxyacyl- CoA dehydrogenase family
MCL	1	Red	24	Hsd17b4	10090.ENSMUSP00000025385	Peroxisomal multifunctional enzyme type 2; Bifunctional enzyme acting on the peroxisomal beta- oxidation pathway for fatty acids. Catalyzes the formation of 3- ketoacyl-CoA intermediates from both straight-chain and 2-methyl- branched-chain fatty acids (By similarity)
MCL	1	Red	24	Mccc1	10090.ENSMUSP00000029259	Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial; Biotin-attachment subunit of the 3-methylcrotonyl-CoA carboxylase, an enzyme that catalyzes the conversion of 3- methylcrotonyl-CoA to 3-methylglutaconyl-CoA, a critical step for leucine and isovaleric acid catabolism
MCL	1	Red	24	Mlycd	10090.ENSMUSP00000095970	Malonyl-CoA decarboxylase, mitochondrial; Catalyzes the conversion of malonyl-CoA to acetyl-CoA. In the fatty acid biosynthesis MCD selectively removes malonyl-CoA and thus assures that methyl-malonyl-CoA is the only chain elongating substrate for fatty acid synthase and that fatty acids with multiple methyl side chains are produced. In peroxisomes it may be involved in degrading intraperoxisomal malonyl-CoA, which is generated by the peroxisomal beta-oxidation of odd chain-length dicarboxylic fatty acids. Plays a role in the metabolic balance between glucose and lipid oxidation in mus [...] 
MCL	1	Red	24	Mpv17	10090.ENSMUSP00000115292	Protein Mpv17; Involved in mitochondria homeostasis. May be involved in the metabolism of reactive oxygen species and control of oxidative phosphorylation and mitochondrial DNA (mtDNA) maintenance (Probable); Belongs to the peroxisomal membrane protein PXMP2/4 family
MCL	1	Red	24	Pccb	10090.ENSMUSP00000035116	Propionyl-CoA carboxylase beta chain, mitochondrial; Propionyl Coenzyme A carboxylase, beta polypeptide
MCL	1	Red	24	Slc25a20	10090.ENSMUSP00000035222	Mitochondrial carnitine/acylcarnitine carrier protein; Mediates the transport of acylcarnitines of different length across the mitochondrial inner membrane from the cytosol to the mitochondrial matrix for their oxidation by the mitochondrial fatty acid-oxidation pathway
MCL	2	Salmon 3	19	Rpl13a	10090.ENSMUSP00000115722	60S ribosomal protein L13a; Associated with ribosomes but is not required for canonical ribosome function and has extra-ribosomal functions (By similarity). Component of the GAIT (gamma interferon-activated inhibitor of translation) complex which mediates interferon-gamma- induced transcript-selective translation inhibition in inflammation processes. Upon interferon-gamma activation and subsequent phosphorylation dissociates from the ribosome and assembles into the GAIT complex which binds to stem loop- containing GAIT elements in the 3'-UTR of diverse inflammatory mRNAs (such as cerup [...] 
MCL	2	Salmon 3	19	Rpl18a	10090.ENSMUSP00000058368	Ribosomal protein L18A
MCL	2	Salmon 3	19	Rpl27	10090.ENSMUSP00000090305	Ribosomal protein L27; Component of the large ribosomal subunit (By similarity). Required for proper rRNA processing and maturation of 28S and 5.8S rRNAs (By similarity)
MCL	2	Salmon 3	19	Rpl27a	10090.ENSMUSP00000123410	Ribosomal protein L27A
MCL	2	Salmon 3	19	Rpl30	10090.ENSMUSP00000106014	Ribosomal protein L30; Belongs to the eukaryotic ribosomal protein eL30 family
MCL	2	Salmon 3	19	Rpl32	10090.ENSMUSP00000080523	Ribosomal protein L32; Belongs to the eukaryotic ribosomal protein eL32 family
MCL	2	Salmon 3	19	Rpl34	10090.ENSMUSP00000086614	60S ribosomal protein L34; Component of the large ribosomal subunit
MCL	2	Salmon 3	19	Rpl36a	10090.ENSMUSP00000108837	Ribosomal protein L36A
MCL	2	Salmon 3	19	Rpl6	10090.ENSMUSP00000031617	60S ribosomal protein L6; Component of the large ribosomal subunit
MCL	2	Salmon 3	19	Rpl7a	10090.ENSMUSP00000099962	Ribosomal protein L7A
MCL	2	Salmon 3	19	Rpl9	10090.ENSMUSP00000109399	Ribosomal protein L9; Belongs to the universal ribosomal protein uL6 family
MCL	2	Salmon 3	19	Rps11	10090.ENSMUSP00000003521	Ribosomal protein S11
MCL	2	Salmon 3	19	Rps16	10090.ENSMUSP00000103940	Ribosomal protein S16; Belongs to the universal ribosomal protein uS9 family
